occurrenceID,eventID,verbatimHostPlant,Plant_genus,Plant_species,Plant_gen_sp,floralHostNotes,LR_floral_notes,family,genus,specificEpithet,identifiedBy,identificationRemarks,LR_verif__Changes_made_here_and_in_BBW,vernacularName,verbatimLocality,decimalLatitude,decimalLongitude,stateProvince,country,verbatimEventDate,modified,coordinateUncertaintyInMeters,sex,caste,individualCount,occurrenceRemarks,recordedBy,recordedByID,identificationVerificationStatus,dateIdentified,datasetID,previousIdentifications,recordSouce,informationWithheld,measurementMethod,images,comment_count,referenceID,sightingUrl,metadataUrl,sawZeroBees,Species_richness,Abundance,sourceFile,Delete_row,year,surveyMethod,surveyArea,surveyUnit,captureMethod,eventTime,eventEndTime,surveyDuration,numberOfSurveyors,Temperature,temperatureUnits,tempC,windSpeed,windOrdinal,cloudCover,weatherNotes,habitat,surroundingHabitat1,surroundingHabitat2,surroundingHabitat3,floralPercent,Brush_piles,Bunch_grasses,Leaf_litter,Loose_bare_soil,Mulch,Pine_needle_duff,Rock_piles,Rodent_holes_Tunnels,None_of_the_above,managementMowing,managementGrazing,managementGrazing2,managementNativeGrazing,managementAgriculture,managementInsecticides,managementHerbicides,managementFire,managementHoneybees,managementHoneybees2,managementNotes,flowersCount,volunteer,volunteer_end_time,volunteer_miles_survey,volunteer_signature,volunteer_start_time,volunteer_data_submit,volunteer_organization,training,training_date,training_hours,checklistUrl,Date,Year,Month,Day,dayno,DEM,lastFire,annTempC,isotherm,maxTempWarmest,minTempColdest,annPrec,precSeasonality,monthPrecipWarmest,monthlyPrecipCodest,tempGrowingSeasonC,precipGrowSeason,rh,swb,snowDays,evaporationPotential,growSeason,npp,gdd0,jurisdiction,consName,county,ecoregion,blmGrazing,npnStartSpringDay,plantDiversityCDFW,plantDiversityWeightCDFW,ecoregionBioDivWeightCDFW,yearsSinceFire
137280,109787,Deerweed,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,,,Crotch bumble bee,US-CA-Los Angeles County-Santa Clarita-Soledad Canyon Rd-12228Ã¢â‚¬â€œ12856,34.4331117,-118.3598362,California,United States,5/16/2023,2023-05-17 03:18:54.178275+00:00,25 - 50,Male,Male,1,,Corrina Tapia,Corrinatapia,Verified,12/30/2023,Bumble Bee Watch,melanopygus,App,FALSE,,https://www.bumblebeewatch.org/media/bees/big/78d3fa1b-3066-44b2-8afd-5d8b3f04c9f9.jpg,2,NA,https://www.bumblebeewatch.org/sightings/bee/137280/,https://www.bumblebeewatch.org/metadata/,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/16/2023,2023,5,16,136,572,1960,16.35,47.1,32.35,4.15,386.4,93.5,10.3,223.8,11.95,380.3,52.04,-1051,0,115.6,182,657.3,5989,Mountains Recreation and Conservation Authority,Unnamed site - Mountains Recreation and Conservation Authority,Los Angeles,Southern California Mountains,NA,57,1257,0.735517847,0.724131,63
143462,112244,Deerweed,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,,,Crotch bumble bee,Solstice Canyon,34.04209,-118.75108,California,United States,6/11/2023,2023-07-05 05:43:32.910520+00:00,50-100,Female,Female,1,,Katrina Nolan,katnolan,Verified,10/6/2023,Bumble Bee Watch,,Website,FALSE,,"https://www.bumblebeewatch.org/media/bees/big/56dc0094-c9c0-494e-bf18-4d6ff028450d.jpg, https://www.bumblebeewatch.org/media/bees/big/23b6035c-2d2e-4573-b357-4185e4741be4.jpg, https://www.bumblebeewatch.org/media/bees/big/2b9f5a9f-4a74-4570-86e0-685282c7a2e4.jpg",1,NA,https://www.bumblebeewatch.org/sightings/bee/143462/,https://www.bumblebeewatch.org/metadata/,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/11/2023,2023,6,11,162,177,2018,16.25,45.7,25.25,8.65,452.7,99.4,7.4,275.8,14.45,450.5,59.55,-966,0,111.28,237,754.6,5954,United States National Park Service,Solstice Canyon,Los Angeles,Southern California/Northern Baja Coast,NA,39,1094,0.640140433,0.444713,5
143466,112244,Deerweed,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,,,Crotch bumble bee,Solstice Canyon,34.04209,-118.75108,California,United States,6/11/2023,2023-07-05 05:43:32.910520+00:00,50-100,Male,Male,1,,Katrina Nolan,katnolan,Verified,10/6/2023,Bumble Bee Watch,,Website,FALSE,,"https://www.bumblebeewatch.org/media/bees/big/d89636bc-f203-40f6-b7a9-b093669cf756.jpg, https://www.bumblebeewatch.org/media/bees/big/4c04c9fb-3609-494b-839d-54ccd659b020.jpg",1,NA,https://www.bumblebeewatch.org/sightings/bee/143466/,https://www.bumblebeewatch.org/metadata/,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/11/2023,2023,6,11,162,177,2018,16.25,45.7,25.25,8.65,452.7,99.4,7.4,275.8,14.45,450.5,59.55,-966,0,111.28,237,754.6,5954,United States National Park Service,Solstice Canyon,Los Angeles,Southern California/Northern Baja Coast,NA,39,1094,0.640140433,0.444713,5
143469,112245,Deerweed,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,,,Crotch bumble bee,Rocky Oaks,34.09836,-118.81575,California,United States,6/13/2023,2023-07-05 05:58:39.218000+00:00,50-100,Female,Female,1,,Katrina Nolan,katnolan,Verified,10/6/2023,Bumble Bee Watch,,Website,FALSE,,"https://www.bumblebeewatch.org/media/bees/big/cddd34b0-d3c7-4695-8f6f-9200cd098d4b.jpg, https://www.bumblebeewatch.org/media/bees/big/3c8727a3-5f0a-472b-ada5-309dbb849873.jpg, https://www.bumblebeewatch.org/media/bees/big/414a9e89-e2fd-4550-85ce-ce6f1f1e75d2.jpg, https://www.bumblebeewatch.org/media/bees/big/fb7b0264-f1cc-4ec5-976d-b88f6f7281d6.jpg",1,NA,https://www.bumblebeewatch.org/sightings/bee/143469/,https://www.bumblebeewatch.org/metadata/,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/13/2023,2023,6,13,164,541,2018,15.35,43.2,25.85,6.55,523.2,100.1,8.4,319.7,13.55,521,52.43,-964,0,113.04,256,853.7,5612.3,United States National Park Service,Rocky Oaks,Los Angeles,Southern California/Northern Baja Coast,NA,44,1257,0.735517847,0.489512,5
187688,124278,Acmispon,Acmispon,,Acmispon,Deerweed was past its prime and landscape was very dry.,,Apidae,Bombus,crotchii,leifr7,Thank you!,,Crotch bumble bee,Hillcrest Open Space,34.177521,-118.830169,California,United States,6/26/2024,2024-06-27 03:41:44.916504+00:00,0-25,Male,Male,1,All bees here were on deerweed except one on buckwheat.,Anne Russell,cowlesnews,Verified,9/24/2024,Bumble Bee Atlas,melanopygus,Website,FALSE,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/IMG_3535_nwUUD8M.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3536.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3537.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3538_EjTTQZW.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3539.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3540.jpeg",NA,NA,https://www.bumblebeewatch.org/sightings/bee/187688/,https://www.bumblebeewatch.org/metadata/,FALSE,1,5,CABBA checklists 01.10.2025,NA,2024,Point,1,hectares,Capture (or at least tried) all bees observed,16:45:00,17:30:00,45,1,80,f,27,6-10 mph,2,0,Very dry.,Shrub/Scrub,Developed/Roadside,,,30,No,No,No,Yes,No,No,No,Yes,No,No,No,NA,No,No,No,No,No,Yes,NA,"There were few honeybees at this location today. Most blooming plants were past their prime,",8,TRUE,17:30:00,9.2,Anne M Russell,16:00:00,2,NA,FALSE,6/26/2024,NA,https://www.bumblebeewatch.org/checklist/124278/,6/26/2024,2024,6,26,178,411,2018,16.05,47.9,27.75,6.45,439.3,99.2,7.2,265.6,13.35,435.6,55.01,-1161,0,127.93,213,735.3,5870.6,Conejo Open Space Conservation Agency,North Ranch,Ventura,Southern California/Northern Baja Coast,NA,46,1257,0.735517847,0.340133,6
187689,124278,Acmispon,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,Thank you!,,Crotch bumble bee,Hillcrest Open Space,34.177521,-118.830169,California,United States,6/26/2024,2024-06-27 03:41:44.916504+00:00,0-25,Male,Male,1,,Anne Russell,cowlesnews,Verified,9/24/2024,Bumble Bee Atlas,melanopygus,Website,FALSE,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/IMG_3542.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3543.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3544.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3545.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3546.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3547_t2Jbiwc.jpeg",NA,NA,https://www.bumblebeewatch.org/sightings/bee/187689/,https://www.bumblebeewatch.org/metadata/,FALSE,1,5,CABBA checklists 01.10.2025,NA,2024,Point,1,hectares,Capture (or at least tried) all bees observed,16:45:00,17:30:00,45,1,80,f,27,6-10 mph,2,0,Very dry.,Shrub/Scrub,Developed/Roadside,,,30,No,No,No,Yes,No,No,No,Yes,No,No,No,NA,No,No,No,No,No,Yes,NA,"There were few honeybees at this location today. Most blooming plants were past their prime,",8,TRUE,17:30:00,9.2,Anne M Russell,16:00:00,2,NA,FALSE,6/26/2024,NA,https://www.bumblebeewatch.org/checklist/124278/,6/26/2024,2024,6,26,178,411,2018,16.05,47.9,27.75,6.45,439.3,99.2,7.2,265.6,13.35,435.6,55.01,-1161,0,127.93,213,735.3,5870.6,Conejo Open Space Conservation Agency,North Ranch,Ventura,Southern California/Northern Baja Coast,NA,46,1257,0.735517847,0.340133,6
187690,124278,Acmispon,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,Thank you!,,Crotch bumble bee,Hillcrest Open Space,34.177521,-118.830169,California,United States,6/26/2024,2024-06-27 03:41:44.916504+00:00,0-25,Male,Male,1,,Anne Russell,cowlesnews,Verified,9/24/2024,Bumble Bee Atlas,melanopygus,Website,FALSE,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/IMG_3550.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3551.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3552.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3553.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3555.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3557_odc0RxZ.jpeg",NA,NA,https://www.bumblebeewatch.org/sightings/bee/187690/,https://www.bumblebeewatch.org/metadata/,FALSE,1,5,CABBA checklists 01.10.2025,NA,2024,Point,1,hectares,Capture (or at least tried) all bees observed,16:45:00,17:30:00,45,1,80,f,27,6-10 mph,2,0,Very dry.,Shrub/Scrub,Developed/Roadside,,,30,No,No,No,Yes,No,No,No,Yes,No,No,No,NA,No,No,No,No,No,Yes,NA,"There were few honeybees at this location today. Most blooming plants were past their prime,",8,TRUE,17:30:00,9.2,Anne M Russell,16:00:00,2,NA,FALSE,6/26/2024,NA,https://www.bumblebeewatch.org/checklist/124278/,6/26/2024,2024,6,26,178,411,2018,16.05,47.9,27.75,6.45,439.3,99.2,7.2,265.6,13.35,435.6,55.01,-1161,0,127.93,213,735.3,5870.6,Conejo Open Space Conservation Agency,North Ranch,Ventura,Southern California/Northern Baja Coast,NA,46,1257,0.735517847,0.340133,6
187691,124278,Acmispon,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,Thank you!,,Crotch bumble bee,Hillcrest Open Space,34.177521,-118.830169,California,United States,6/26/2024,2024-06-27 03:41:44.916504+00:00,0-25,Male,Male,1,This bee looked a little different from the others. I believe it may have been missing a leg on its left side.,Anne Russell,cowlesnews,Verified,9/24/2024,Bumble Bee Atlas,melanopygus,Website,FALSE,Capture (or at least tried) all bees observed,"https://www.bumblebeewatch.org/media/bees/big/IMG_3559_F7oFfGe.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3560_N6xA2XJ.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3561.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3563_0ogGBeP.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3565.jpeg, https://www.bumblebeewatch.org/media/bees/big/IMG_3566.jpeg",NA,NA,https://www.bumblebeewatch.org/sightings/bee/187691/,https://www.bumblebeewatch.org/metadata/,FALSE,1,5,CABBA checklists 01.10.2025,NA,2024,Point,1,hectares,Capture (or at least tried) all bees observed,16:45:00,17:30:00,45,1,80,f,27,6-10 mph,2,0,Very dry.,Shrub/Scrub,Developed/Roadside,,,30,No,No,No,Yes,No,No,No,Yes,No,No,No,NA,No,No,No,No,No,Yes,NA,"There were few honeybees at this location today. Most blooming plants were past their prime,",8,TRUE,17:30:00,9.2,Anne M Russell,16:00:00,2,NA,FALSE,6/26/2024,NA,https://www.bumblebeewatch.org/checklist/124278/,6/26/2024,2024,6,26,178,411,2018,16.05,47.9,27.75,6.45,439.3,99.2,7.2,265.6,13.35,435.6,55.01,-1161,0,127.93,213,735.3,5870.6,Conejo Open Space Conservation Agency,North Ranch,Ventura,Southern California/Northern Baja Coast,NA,46,1257,0.735517847,0.340133,6
216442,132441,Acmispon sp.,Acmispon,,Acmispon,,,Apidae,Bombus,crotchii,leifr7,Compare vs. nevadensis,,Crotch bumble bee,Grover Hot Springs,38.7011317,-119.8631523,California,United States,7/31/2024,2024-11-07 01:48:49.686665+00:00,50-100,Female,Female,1,,Jaymee Marty,jathma,Verified,11/18/2024,Bumble Bee Watch,,Website,FALSE,,https://www.bumblebeewatch.org/media/bees/big/2T9A5087.JPG,NA,NA,https://www.bumblebeewatch.org/sightings/bee/216442/,https://www.bumblebeewatch.org/metadata/,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/31/2024,2024,7,31,213,2166,2021,5.75,39,25.25,-8.05,1048.3,68.2,60.5,487.4,12.25,198.6,53.51,-576,211,106.39,126,1042,2359,United States Forest Service,Humboldt-Toiyabe National Forest,Alpine,Sierra Nevada,NA,169,1699,0.994148625,0.323906,3
108729,98418,Deerweed  (Acmispon glaber),Acmispon,glaber,Acmispon glaber,Most dominant floral host present in the site during this observation. Also being utilized by B. vosnesenskii.,,Apidae,Bombus,crotchii,leifr7,,,Crotch bumble bee,Aqua Vista Rd,37.02392,-119.65273,California,United States,4/29/2022,2022-04-30 20:40:14.390013+00:00,0-25,Male,Male,1,I believe this is a male B. crotchii. Saw worker and possibly queen B. crotchii and many B. vosnesenskii.,Lori Werner,lrw1027,Verified,5/26/2022,Bumble Bee Watch,,Website,FALSE,,"https://www.bumblebeewatch.org/media/bees/big/7315bbcf-d331-4afb-a261-82d9339842b5.jpg, https://www.bumblebeewatch.org/media/bees/big/0e2ebeac-8a49-435a-84d4-ca859333fd28.jpg, https://www.bumblebeewatch.org/media/bees/big/aed42f42-68d3-4e88-b387-5835b06ecd2a.jpg, https://www.bumblebeewatch.org/media/bees/big/12206d1f-45ed-42b7-a36f-9e9edf9e7886.jpg, https://www.bumblebeewatch.org/media/bees/big/8e09d914-4065-4a62-92b3-a9e44e716f52.jpg",1,NA,https://www.bumblebeewatch.org/sightings/bee/108729/,https://www.bumblebeewatch.org/metadata/,NA,NA,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/29/2022,2022,4,29,119,201,NA,17.35,42.1,35.35,3.35,535.1,84.9,8.5,284.7,13.15,526.6,52.17,-852,0,108.24,226,869.9,6331.5,United States Bureau of Reclamation,Millerton Lake State Recreation Area,Fresno,Central California Foothills and Coastal Mountains,NA,67,1118,0.654183733,0.32606,NA
