review_id,host_field,host_text,review_status,confirmed_host,host_plant_name,host_plant_type,plant_family,plant_genus,plant_species,association_type,reviewer_notes,source_file,source_row,gbifID,occurrenceID,catalogNumber,recordNumber,datasetKey,scientificName,family,genus,specificEpithet,eventDate,decimalLatitude,decimalLongitude,locality,county,stateProvince,countryCode,basisOfRecord,institutionCode,collectionCode,bee_species
5631,associatedTaxa,Host: Arnica chamissonis,needs_review,,,,,,,,,occurrence.txt,5535,4913243835,ADVGB2566-24,ADV_GB_0109,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAA8078,Apidae,Bombus,,8/13/19,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
8138,associatedTaxa,Host: Arnica chamissonis,needs_review,,,,,,,,,verbatim.txt,286,4913243835,ADVGB2566-24,ADV_GB_0109,,,BOLD:AAA8078,Apidae,Bombus,,8/13/19,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
5639,associatedTaxa,Host: Horkelia fusca,needs_review,,,,,,,,,occurrence.txt,5538,4913233576,ADVGB2178-24,ADV_GB_3268,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAA8078,Apidae,Bombus,,7/24/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
5682,associatedTaxa,Host: Horkelia fusca,needs_review,,,,,,,,,occurrence.txt,5583,4913277802,ADVGB2177-24,ADV_GB_3242,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAA8078,Apidae,Bombus,,7/24/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
5725,associatedTaxa,Host: Horkelia fusca,needs_review,,,,,,,,,occurrence.txt,5611,4916730747,ADVGB2540-24,ADV_GB_4975,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAA8078,Apidae,Bombus,,7/9/21,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
8148,associatedTaxa,Host: Horkelia fusca,needs_review,,,,,,,,,verbatim.txt,287,4913233576,ADVGB2178-24,ADV_GB_3268,,,BOLD:AAA8078,Apidae,Bombus,,7/24/20,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
8477,associatedTaxa,Host: Horkelia fusca,needs_review,,,,,,,,,verbatim.txt,318,4913277802,ADVGB2177-24,ADV_GB_3242,,,BOLD:AAA8078,Apidae,Bombus,,7/24/20,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
8727,associatedTaxa,Host: Horkelia fusca,needs_review,,,,,,,,,verbatim.txt,343,4916730747,ADVGB2540-24,ADV_GB_4975,,,BOLD:AAA8078,Apidae,Bombus,,7/9/21,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAA8078
5646,associatedTaxa,Host: Chamerion angustifolium,needs_review,,,,,,,,,occurrence.txt,5543,4913299316,ADVGB1817-24,ADV_GB_3439,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB1091,Apidae,Bombus,,8/4/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
5823,associatedTaxa,Host: Chamerion angustifolium,needs_review,,,,,,,,,occurrence.txt,5693,4916464876,ADVGB1818-24,ADV_GB_3529,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB1091,Apidae,Bombus,,8/4/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
5861,associatedTaxa,Host: Chamerion angustifolium,needs_review,,,,,,,,,occurrence.txt,5732,4913316478,ADVGB2565-24,ADV_GB_5119,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB1091,Apidae,Bombus,,7/23/21,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
8114,associatedTaxa,Host: Chamerion angustifolium,needs_review,,,,,,,,,verbatim.txt,284,4913299316,ADVGB1817-24,ADV_GB_3439,,,BOLD:AAB1091,Apidae,Bombus,,8/4/20,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
8553,associatedTaxa,Host: Chamerion angustifolium,needs_review,,,,,,,,,verbatim.txt,326,4913316478,ADVGB2565-24,ADV_GB_5119,,,BOLD:AAB1091,Apidae,Bombus,,7/23/21,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
10101,associatedTaxa,Host: Chamerion angustifolium,needs_review,,,,,,,,,verbatim.txt,462,4916464876,ADVGB1818-24,ADV_GB_3529,,,BOLD:AAB1091,Apidae,Bombus,,8/4/20,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
5755,associatedTaxa,Host: Lupinus lepidus var sellulus,needs_review,,,,,,,,,occurrence.txt,5633,4913304650,ADVGB1816-24,ADV_GB_3397,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB1091,Apidae,Bombus,,7/28/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
5784,associatedTaxa,Host: Lupinus lepidus var sellulus,needs_review,,,,,,,,,occurrence.txt,5654,4913286324,ADVGB2564-24,ADV_GB_3258,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB1091,Apidae,Bombus,,7/24/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
8972,associatedTaxa,Host: Lupinus lepidus var sellulus,needs_review,,,,,,,,,verbatim.txt,367,4913304650,ADVGB1816-24,ADV_GB_3397,,,BOLD:AAB1091,Apidae,Bombus,,7/28/20,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
9573,associatedTaxa,Host: Lupinus lepidus var sellulus,needs_review,,,,,,,,,verbatim.txt,418,4913286324,ADVGB2564-24,ADV_GB_3258,,,BOLD:AAB1091,Apidae,Bombus,,7/24/20,39.313,-120.362,van norden,,California,,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB1091
5593,associatedTaxa,Host: Lupinus lepidus var sellulus,needs_review,,,,,,,,,occurrence.txt,5506,4913316460,ADVGB1805-24,ADV_GB_3556,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB4830,Apidae,Bombus,,8/11/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB4830
5618,associatedTaxa,Host: Lupinus lepidus var sellulus,needs_review,,,,,,,,,occurrence.txt,5525,4913294313,ADVGB2169-24,ADV_GB_3503,,040c5662-da76-4782-a48e-cdea1892d14c,BOLD:AAB4830,Apidae,Bombus,,8/4/20,39.313,-120.362,van norden,,California,US,MATERIAL_SAMPLE,"University of Nevada, Reno",,BOLD:AAB4830
